年份,学校名称_链接,学校名称,院系名称_链接,院系名称,专业代码,专业名称_链接,专业名称,总分,政治__管综,外语,业务课_一,业务课_二
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/15/,心理学系,040201,http://yz.kaoyan365.cn/school/pku/zhuanye/87640.html,基础心理学,320,50,50,180,-
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/15/,心理学系,040203,http://yz.kaoyan365.cn/school/pku/zhuanye/87642.html,应用心理学,320,50,50,180,-
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/26/,城市与环境学院,070501,http://yz.kaoyan365.cn/school/pku/zhuanye/87645.html,自然地理学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/15/,心理学系,0402Z1,http://yz.kaoyan365.cn/school/pku/zhuanye/87643.html,心理学（临床心理学）,320,50,50,180,-
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/26/,城市与环境学院,081302,http://yz.kaoyan365.cn/school/pku/zhuanye/87651.html,建筑设计及其理论,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/37/,建筑与景观设计学院,0705Z5,http://yz.kaoyan365.cn/school/pku/zhuanye/87653.html,景观设计学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/26/,城市与环境学院,0705Z2,http://yz.kaoyan365.cn/school/pku/zhuanye/87647.html,历史地理学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/15/,心理学系,040202,http://yz.kaoyan365.cn/school/pku/zhuanye/87641.html,发展与教育心理学,320,50,50,180,-
2017,http://yz.kaoyan365.cn/school/tsinghua/,清华大学,http://yz.kaoyan365.cn/school/tsinghua/yuanxi/124/,材料学院,085204,http://yz.kaoyan365.cn/school/tsinghua/zhuanye/87626.html,材料工程 ,330,50,50,80,80
2017,http://yz.kaoyan365.cn/school/tsinghua/,清华大学,http://yz.kaoyan365.cn/school/tsinghua/yuanxi/103/,生命科学学院,071000,http://yz.kaoyan365.cn/school/tsinghua/zhuanye/87633.html,生物学 ,320,50,50,80,80
2017,http://yz.kaoyan365.cn/school/tsinghua/,清华大学,http://yz.kaoyan365.cn/school/tsinghua/yuanxi/11283/,经济管理学院,125100,http://yz.kaoyan365.cn/school/tsinghua/zhuanye/87636.html,工商管理 ,170,42,-,84,-
2017,http://yz.kaoyan365.cn/school/tsinghua/,清华大学,http://yz.kaoyan365.cn/school/tsinghua/yuanxi/11334/,化学系,070300,http://yz.kaoyan365.cn/school/tsinghua/zhuanye/87632.html,化学 ,320,50,50,80,80
2017,http://yz.kaoyan365.cn/school/tsinghua/,清华大学,http://yz.kaoyan365.cn/school/tsinghua/yuanxi/11283/,经济管理学院,025100,http://yz.kaoyan365.cn/school/tsinghua/zhuanye/87637.html,金融,388,50,50,90,90
2017,http://yz.kaoyan365.cn/school/tsinghua/,清华大学,http://yz.kaoyan365.cn/school/tsinghua/yuanxi/11332/,数学科学系,070100,http://yz.kaoyan365.cn/school/tsinghua/zhuanye/87627.html,数学 ,320,50,50,80,80
2017,http://yz.kaoyan365.cn/school/tsinghua/,清华大学,http://yz.kaoyan365.cn/school/tsinghua/yuanxi/11334/,化学系,070300,http://yz.kaoyan365.cn/school/tsinghua/zhuanye/87631.html,化学,320,50,50,80,80
2017,http://yz.kaoyan365.cn/school/tsinghua/,清华大学,http://yz.kaoyan365.cn/school/tsinghua/yuanxi/11333/,物理系,070401,http://yz.kaoyan365.cn/school/tsinghua/zhuanye/87630.html,天体物理,320,50,50,80,80
